20241222,金众柏悦公馆,21000,360-728(万/套)
20241222,保利时区,23000,361-800(万/套)
20241222,瑞天·莞太印象,26500,265-337(万/套)
20241222,绿城桂语旗峰,26000,230-400(万/套)
20241222,宏发万悦城,15800,158-189(万/套)
20241222,春晖国际城,25800,215-615(万/套)
20241222,星城翠珑湾四期,18800,139(万/套)
20241222,华讯大宅,12000,58-412(万/套)
20241222,佳兆业碧海云天,15500,320-410(万/套)
20241222,新鸿基珑汇,15000,132-312(万/套)
20241222,嘉辉豪庭.逸峯,19000,275-625(万/套)
20241222,王洲湾1号,14500,55(万/套)
20241222,奥园城市天地,16000,65(万/套)
20241222,天琴湾花园,19000,250-462(万/套)
20241222,丰华珑远翠珑湾,18000,110(万/套)
20241222,中联创·戛纳湾,13000,59-160(万/套)
20241222,富盈东方华府,41000,171.6-214.5(万/套)
20241222,星岸THE EMERALD,14000,193-238(万/套)
20241222,星岸THE EMERALD,33000,850(万/套)
20241222,汇星商业中心,13000,0
20241222,颐安云玺,14000,195-248(万/套)
20241222,颐安云玺,价格待定,0
20241222,万科公园里,价格待定,0
20241222,十畝芳华里,12000,45-61.5(万/套)
20241222,揽海云境,6000,50-110(万/套)
20241222,金融街·金悦府,25000,267-386(万/套)
20241222,金融街·金悦府,价格待定,0
20241222,世茂福晟钱隆华府,价格待定,0
20241222,招商美的东樾花园,价格待定,0
20241222,唐商翰林府,12000,155-230(万/套)
