20250116,瑞天·莞太印象,27500,275-360(万/套)
20250116,莞月松湖,17000,130-270(万/套)
20250116,建鼎·汇悦,18500,155-293(万/套)
20250116,建发缦云,46000,530-880(万/套)
20250116,春晖国际城,25800,215-615(万/套)
20250116,星城翠珑湾四期,18800,139(万/套)
20250116,华讯大宅,12000,58-412(万/套)
20250116,佳兆业碧海云天,15500,320-410(万/套)
20250116,新鸿基珑汇,15000,132-312(万/套)
20250116,嘉辉豪庭.逸峯,19000,275-625(万/套)
20250116,王洲湾1号,14500,55(万/套)
20250116,奥园城市天地,16000,65(万/套)
20250116,天琴湾花园,19000,250-462(万/套)
20250116,丰华珑远翠珑湾,18000,110(万/套)
20250116,中联创·戛纳湾,13000,59-160(万/套)
20250116,富盈东方华府,41000,171.6-214.5(万/套)
20250116,星岸THE EMERALD,14000,193-238(万/套)
20250116,星岸THE EMERALD,33000,850(万/套)
20250116,汇星商业中心,13000,0
20250116,颐安云玺,14000,195-248(万/套)
20250116,颐安云玺,价格待定,0
20250116,万科公园里,价格待定,0
20250116,十畝芳华里,12000,45-61.5(万/套)
20250116,揽海云境,6000,50-110(万/套)
20250116,金融街·金悦府,25000,267-386(万/套)
20250116,金融街·金悦府,价格待定,0
20250116,世茂福晟钱隆华府,价格待定,0
20250116,招商美的东樾花园,价格待定,0
20250116,唐商翰林府,12000,155-230(万/套)
20250116,信鸿誉庭,21000,220-260(万/套)
